participant_id,Cultural_Fam,Musicianship,age,nationality,ethnicity,rhythm_name,original_identifier,aligned_beat,trial_errors,trial_durations_sec,trial_adjustments,random_start_beats,initial_beat_offsets,corrected_aligned_beats,is_correct,trial_number_overall,repetition
RHYTHM_1757446162536_3guu8,Indian,NICM_Musician,30,india,indian,Jhaptal,2,1,0,26.1,3,7,7,1,TRUE,5,2
RHYTHM_1757446162536_3guu8,Indian,NICM_Musician,30,india,indian,Rupak,2,4,4,34.2,2,3,6,4,FALSE,6,2
RHYTHM_1757446162536_3guu8,Indian,NICM_Musician,30,india,indian,Keherva,1,1,0,39.6,1,8,1,1,TRUE,7,1
RHYTHM_1757446162536_3guu8,Indian,NICM_Musician,30,india,indian,Keherva,2,1,0,20.3,1,6,1,1,TRUE,8,2
RHYTHM_1757445291237_3pv4u,Indian,NICM_Musician,25,india,indian,Jhaptal,1,1,0,729.8,50,5,2,1,TRUE,1,1
RHYTHM_1757445291237_3pv4u,Indian,NICM_Musician,25,india,indian,Rupak,1,4,4,211.1,12,7,1,4,FALSE,2,1
RHYTHM_1757445291237_3pv4u,Indian,NICM_Musician,25,india,indian,Teental,1,1,0,39.8,2,4,2,1,TRUE,3,1
RHYTHM_1757445291237_3pv4u,Indian,NICM_Musician,25,india,indian,Teental,2,1,0,73.6,7,14,7,1,TRUE,4,2
RHYTHM_1757445291237_3pv4u,Indian,NICM_Musician,25,india,indian,Jhaptal,2,1,0,39,2,9,2,1,TRUE,5,2
RHYTHM_1757445291237_3pv4u,Indian,NICM_Musician,25,india,indian,Rupak,2,4,4,74.1,6,4,3,4,FALSE,6,2
RHYTHM_1757445291237_3pv4u,Indian,NICM_Musician,25,india,indian,Keherva,1,3,6,50.7,7,4,3,3,FALSE,7,1
RHYTHM_1757445291237_3pv4u,Indian,NICM_Musician,25,india,indian,Keherva,2,1,0,52.1,6,5,6,1,TRUE,8,2
RHYTHM_1757451466847_sy050,Indian,NICM_Musician,29,india,indian,Rupak,1,1,0,153.7,20,6,4,1,TRUE,1,1
RHYTHM_1757451466847_sy050,Indian,NICM_Musician,29,india,indian,Jhaptal,1,3,8,36.4,3,7,5,3,FALSE,2,1
RHYTHM_1757451466847_sy050,Indian,NICM_Musician,29,india,indian,Teental,1,16,1,52.7,5,6,6,16,FALSE,3,1
RHYTHM_1757451466847_sy050,Indian,NICM_Musician,29,india,indian,Keherva,1,1,0,134.9,5,3,3,1,TRUE,4,1
RHYTHM_1757451466847_sy050,Indian,NICM_Musician,29,india,indian,Teental,2,1,0,47.3,5,5,5,1,TRUE,5,2
RHYTHM_1757451466847_sy050,Indian,NICM_Musician,29,india,indian,Rupak,2,1,0,46.6,8,6,3,1,TRUE,6,2
RHYTHM_1757451466847_sy050,Indian,NICM_Musician,29,india,indian,Jhaptal,2,6,5,58.6,8,8,7,6,FALSE,7,2
RHYTHM_1757451466847_sy050,Indian,NICM_Musician,29,india,indian,Keherva,2,2,7,52.3,4,5,3,2,FALSE,8,2
RHYTHM_1757474809716_y1ill,Indian,Non-Musician,28,india,indian,Teental,1,14,3,65.7,6,16,9,14,FALSE,1,1
RHYTHM_1757474809716_y1ill,Indian,Non-Musician,28,india,indian,Jhaptal,1,10,1,86.8,16,9,7,10,FALSE,2,1
RHYTHM_1757474809716_y1ill,Indian,Non-Musician,28,india,indian,Keherva,1,1,0,160.6,7,7,7,1,TRUE,3,1
